,OpenTime,Side,Pair,Amount,Status,OpenPrice,ClosePrice,SL,TP,PnL
300,02/21 09:18:17,LONG,CAKEUSDT,28.08988764044938,Close,2.6976,2.6442,2.6442,2.7332,-1.57427528089887
301,02/21 09:19:57,LONG,ASTRUSDT,980.3921568627252,Close,0.16351,0.1619799999999999,0.1619799999999999,0.16453,-1.6588039215686787
302,02/21 09:37:55,LONG,GRTUSDT,341.2969283276464,Close,0.23794,0.233545,0.233545,0.24087,-1.5797081911262896
303,02/21 10:13:09,LONG,AUCTIONUSDT,2.7027027027026955,Close,30.08,30.45,29.525,30.45,0.9177027027027028
304,02/21 10:20:34,LONG,ARUSDT,7.1428571428572045,Close,13.973,13.763000000000002,13.763000000000002,14.113,-1.5983071428571505
305,02/21 11:03:25,LONG,AUCTIONUSDT,2.9411764705882364,Close,30.39,29.880000000000003,29.880000000000003,30.73,-1.5878823529411712
306,02/21 11:13:29,LONG,1000SHIBUSDT,27027.02702702661,Close,0.009462,0.0094064999999999,0.0094064999999999,0.009499,-1.754229729732419
307,02/21 11:23:14,LONG,UNIUSDT,26.315789473684035,Close,7.261,7.204,7.204,7.299,-1.6895789473684195
308,02/21 11:33:35,LONG,ALPHAUSDT,840.3361344537839,Close,0.12076,0.118975,0.118975,0.12195,-1.5999789915966505
309,02/21 11:54:41,LONG,FILUSDT,19.607843137254843,Close,7.304,7.2275,7.2275,7.355,-1.6417156862745097
310,02/21 12:52:25,LONG,APEUSDT,142.857142857145,Close,1.6991,1.7061,1.6886,1.7061,0.7562714285714249
311,02/21 13:00:37,LONG,PERPUSDT,135.13513513513786,Close,1.3198,1.3272,1.3087000000000004,1.3272,0.8206486486486451
312,02/21 13:02:44,LONG,SUSHIUSDT,121.95121951219534,Close,1.2493,1.237,1.237,1.2575,-1.6508536585365856
313,02/21 13:04:59,LONG,TIAUSDT,9.39849624060144,Close,17.0073,16.8477,16.8477,17.1137,-1.658343045112781
314,02/21 13:21:01,LONG,SEIUSDT,119.047619047618,Close,0.8634,0.8507999999999998,0.8507999999999998,0.8718,-1.60128571428572
315,02/21 13:21:31,LONG,HOTUSDT,50000.00000000095,Close,0.00223,0.0022,0.0022,0.00225,-1.6100000000000343
316,02/21 13:21:59,LONG,MEMEUSDT,5434.782608695648,Close,0.025478,0.025202,0.025202,0.025662,-1.6369673913043572
317,02/21 13:32:32,LONG,LINKUSDT,5.291005291005289,Close,18.396,18.1125,18.1125,18.585,-1.5958333333333332
318,02/21 13:54:36,LONG,ONDOUSDT,112.35955056179822,Close,0.3163,0.3252,0.30295,0.3252,0.9634606741573032
319,02/21 14:21:34,LONG,CHRUSDT,249.99999999999977,Close,0.3993,0.4033,0.3933,0.4033,0.8991750000000001
320,02/21 15:46:45,SHORT,JASMYUSDT,2409.638554216865,Close,0.014062,0.013647,0.0146845,0.013647,0.9671156626506024
321,02/21 16:31:40,LONG,ALGOUSDT,624.999999999993,Close,0.1843,0.1859,0.1818999999999999,0.1859,0.8838125000000013
322,02/21 16:31:43,LONG,CHZUSDT,719.4244604316534,Close,0.11782,0.11921,0.1157349999999999,0.11921,0.9142374100719424
323,02/21 16:31:45,LONG,INJUSDT,2.079002079002072,Close,34.494,34.975,33.772499999999994,34.975,0.9272869022869026
324,02/21 16:31:59,LONG,SUSHIUSDT,67.11409395973094,Close,1.2265,1.2414,1.2041499999999998,1.2414,0.91668456375839
